id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X
420ca5b1-93be-4a6c-9a48-d1eef3e5c149,13508,-15,-53.0,True,AMOS_v1,2023/12/1 0:00,2023/12/2 0:00,2023/12/1 0:30,0.0407,0.0,,,0.0
e1509554-7b6a-4daf-9fa8-a490520f6177,13508,-15,-53.0,True,ASAP_1,2023/12/1 0:00,2023/12/2 0:00,2023/12/1 0:00,,0.038899999,0.200000003,0.038899999,0.0
e412dfa3-a96e-4935-8ee0-5372362f4f12,13508,-15,-53.0,True,MAG4_LOS_FEr,2023/12/1 0:00,2023/12/2 0:00,2023/12/1 0:00,,0.011,,0.009,0.002
3b8f1f31-0031-466e-a069-37a662515e06,13508,-15,-53.0,True,MAG4_LOS_r,2023/12/1 0:00,2023/12/2 0:00,2023/12/1 0:00,,0.009,,0.008,0.001
8426eeae-600d-4606-b6f6-209c8bda0f7e,13508,-15,-53.0,True,NOAA_1,2023/12/1 0:00,2023/12/2 0:00,2023/11/30 22:00,,0.02,0.050000001,0.01,0.01
c2907b28-bd2e-4330-9641-6c5fb32a9c3e,13508,-15,-38.0,True,AMOS_v1,2023/12/2 0:00,2023/12/3 0:00,2023/12/2 0:30,0.0407,0.0,,,0.0
a1cfb470-313d-4d4f-bf22-abb308015ee9,13508,-15,-25.0,True,MAG4_LOS_FEr,2023/12/3 0:00,2023/12/4 0:00,2023/12/3 0:00,,0.001,,0.001,0.0
96e72a3d-22d0-44ae-9660-1423fec5bc1e,13508,-15,-25.0,True,MAG4_LOS_r,2023/12/3 0:00,2023/12/4 0:00,2023/12/3 0:00,,0.001,,0.001,0.0
bddec120-eeea-4c38-bc44-14ef7bc5aa56,13508,-15,2.0,True,MAG4_LOS_FEr,2023/12/5 0:00,2023/12/6 0:00,2023/12/5 0:00,,0.0,,0.0,0.0
725833be-3615-4ad2-ac57-fbfb51101434,13508,-15,2.0,True,MAG4_LOS_r,2023/12/5 0:00,2023/12/6 0:00,2023/12/5 0:00,,0.0,,0.0,0.0
d1d4b564-5f07-4684-ad62-7195a36a20a3,13509,10,50.0,True,ASAP_1,2023/12/2 0:00,2023/12/3 0:00,2023/12/2 0:00,,0.0348,0.268000007,0.0348,0.0
cf1bd8a8-8102-4d49-973d-032a96736dba,13509,10,50.0,True,NOAA_1,2023/12/2 0:00,2023/12/3 0:00,2023/12/1 22:00,,0.060000001000000004,0.349999994,0.050000001,0.01
b0716d06-a2c7-4201-a21a-a35cc3a091c5,13509,10,65.0,True,AMOS_v1,2023/12/3 0:00,2023/12/4 0:00,2023/12/3 0:30,0.632099986,0.0,,,0.0
6a0553d3-71d0-41b8-9a8a-58a775758497,13509,10,65.0,True,ASAP_1,2023/12/3 0:00,2023/12/4 0:00,2023/12/3 0:00,,0.0209,0.186000004,0.0209,0.0
0d45a62f-e620-4fa0-a8f9-e2dc6128df5b,13509,10,65.0,True,NOAA_1,2023/12/3 0:00,2023/12/4 0:00,2023/12/2 22:00,,0.060000001000000004,0.25,0.050000001,0.01
c3df0e3a-28a6-4bf5-9ab7-4efa37f5bf1d,13509,11,79.0,True,AMOS_v1,2023/12/4 0:00,2023/12/5 0:00,2023/12/4 0:30,0.100900002,0.0109,,,0.0009
edfd1569-7f45-4a54-8824-66294818271d,13511,-23,-23.0,True,ASAP_1,2023/12/4 0:00,2023/12/5 0:00,2023/12/4 0:00,,0.032699998,0.252999991,0.032699998,0.0
0bb26f0f-a517-4cd1-add5-d3963428bac6,13511,-23,-23.0,True,MAG4_LOS_FEr,2023/12/4 0:00,2023/12/5 0:00,2023/12/4 0:00,,0.005,,0.004,0.001
37e97357-f0af-4027-8142-a91d8b73af68,13511,-23,-23.0,True,MAG4_LOS_r,2023/12/4 0:00,2023/12/5 0:00,2023/12/4 0:00,,0.004,,0.004,0.0
63e7602a-a2f5-466f-acf9-1e0178274b69,13511,-23,-23.0,True,NOAA_1,2023/12/4 0:00,2023/12/5 0:00,2023/12/3 22:00,,0.02,0.150000006,0.01,0.01
01cec2db-69e1-420b-8b22-75ddb81d8c0e,13511,-23,-9.0,True,AMOS_v1,2023/12/5 0:00,2023/12/6 0:00,2023/12/5 0:30,0.0403,0.0055,,,0.0
f654e7d9-f6ff-4296-8cc0-e7f71a9b56e2,13512,-9,-58.0,True,NOAA_1,2023/12/5 0:00,2023/12/6 0:00,2023/12/4 22:00,,0.02,0.050000001,0.01,0.01
407cce01-8e6d-4213-824a-23df240642ec,13512,-9,-42.0,True,AMOS_v1,2023/12/6 0:00,2023/12/7 0:00,2023/12/6 0:30,0.0287,0.0,,,0.0
b8cd1912-ba97-4866-8629-b8c42ad7ce10,13513,19,-67.0,True,ASAP_1,2023/12/6 0:00,2023/12/7 0:00,2023/12/6 0:00,,0.064900003,0.312000006,0.064900003,0.0
5a110786-b784-4425-8438-15799ae36887,13513,19,-67.0,True,MAG4_LOS_FEr,2023/12/6 0:00,2023/12/7 0:00,2023/12/6 0:00,,0.017000001,,0.014,0.003
f4ddf3c8-007d-4e83-af5a-d1d29dd858f7,13513,19,-67.0,True,MAG4_LOS_r,2023/12/6 0:00,2023/12/7 0:00,2023/12/6 0:00,,0.013,,0.012,0.001
77568a86-b5e8-40ad-a8f8-1df34bfe96a5,13513,19,-67.0,True,NOAA_1,2023/12/6 0:00,2023/12/7 0:00,2023/12/5 22:00,,0.060000001000000004,0.200000003,0.050000001,0.01
80f42c9e-4b03-4260-801d-adb6e251cb5c,13513,19,-53.0,True,AMOS_v1,2023/12/7 0:00,2023/12/8 0:00,2023/12/7 0:30,0.136099994,0.0217,,,0.0
d71f55db-8f02-4be1-8514-ff0ce6fbc9ef,13514,9,-65.0,True,MAG4_LOS_FEr,2023/12/7 0:00,2023/12/8 0:00,2023/12/7 0:00,,0.005,,0.004,0.001
158e2aba-fc27-4bc1-ba82-abb74321a506,13514,9,-65.0,True,MAG4_LOS_r,2023/12/7 0:00,2023/12/8 0:00,2023/12/7 0:00,,0.004,,0.004,0.0
08b3ca94-debf-4f35-a59f-9b1621e3bb91,13514,9,-65.0,True,NOAA_1,2023/12/7 0:00,2023/12/8 0:00,2023/12/6 22:00,,0.060000001000000004,0.25,0.050000001,0.01
8ccf91ac-dec9-4c1f-a6da-b3537fc44ba9,13514,9,-51.0,True,AMOS_v1,2023/12/8 0:00,2023/12/9 0:00,2023/12/8 0:30,0.253199995,0.0317,,,0.0012
3059df75-fc16-4656-b126-50523b8ed36f,13514,9,-51.0,True,ASAP_1,2023/12/8 0:00,2023/12/9 0:00,2023/12/8 0:00,,0.032900002,0.254000008,0.032900002,0.0
