T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230620,LLM_VIT,BSS,"13335,13336",0.543,0.481,0.559,0.548,0.543,0.376,0.606,0.512,0.5,0.677,13335,0.534,C,13336.0,20230621
20230620,LLM_VIT,BSS,"13337,13338",0.287,0.145,0.264,0.275,0.29,0.116,0.257,0.284,0.259,0.238,13338,0.241,M,13337.0,20230621
20230620,LLM_VIT,BSS,13339,0.378,0.208,0.34,0.406,0.316,0.154,0.347,0.392,0.345,0.368,13339,0.325,C,13339.0,20230621
20230620,LLM_VIT,BSS,13340,0.516,0.288,0.515,0.521,0.356,0.295,0.413,0.561,0.509,0.509,13340,0.448,N,13340.0,20230621
20230621,LLM_VIT,BSS,13333,0.336,0.165,0.325,0.355,0.276,0.148,0.288,0.383,0.324,0.286,13333,0.288,N,13333.0,20230622
20230621,LLM_VIT,BSS,"13335,13336",0.588,0.532,0.619,0.603,0.562,0.44,0.643,0.579,0.557,0.731,13335,0.585,N,13336.0,20230622
20230621,LLM_VIT,BSS,"13337,13338",0.37,0.186,0.34,0.345,0.305,0.146,0.282,0.34,0.333,0.285,13338,0.293,C,13337.0,20230622
20230621,LLM_VIT,BSS,13339,0.377,0.211,0.323,0.395,0.324,0.144,0.347,0.377,0.337,0.366,13339,0.32,C,13339.0,20230622
20230621,LLM_VIT,BSS,13340,0.556,0.33,0.553,0.535,0.384,0.35,0.453,0.611,0.561,0.571,13340,0.49,C,13340.0,20230622
20230622,LLM_VIT,BSS,"13334,13337,13338,13343",0.604,0.395,0.596,0.549,0.439,0.399,0.493,0.621,0.581,0.633,13338,0.53,C,13337.0,20230623
20230622,LLM_VIT,BSS,"13335,13336",0.588,0.543,0.635,0.631,0.55,0.468,0.657,0.61,0.559,0.745,13335,0.598,C,13335.0,20230623
20230622,LLM_VIT,BSS,13339,0.348,0.196,0.291,0.362,0.319,0.122,0.329,0.336,0.305,0.337,13339,0.294,N,13339.0,20230623
20230622,LLM_VIT,BSS,13340,0.433,0.259,0.402,0.434,0.36,0.212,0.396,0.466,0.417,0.472,13340,0.385,C,13340.0,20230623
